Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
دکتر جهنمی,@Dr_Hell_2011,2024-07-20T07:40:55.000Z,False," خانم گرامی شما در سال ۲۰۲۴ زندگی میکنی. یعنی برای پیشبرد امور حقوقی_قضایی اشک ریختن هیچ معنیی نداره. اگر ""مبنای حقانیت"" اشک است کارفرمای شما ممکنه بیاد دوبرابر شما اشک بریزه که در این صورت شما آلردی محکوم هستید.
در کشوری مثل آمریکا که قبله فمنیست های دنیاست خانوم انبرهرد جلوی",39,27,194,18K,[],[],['1\\ufe0f\\u20e3'],https://pbs.twimg.com/profile_images/1811293723961282560/GvM7e3qo_normal.jpg,https://x.com/Dr_Hell_2011/status/1814566141571842312,tweet_id:1814566141571842312
Babak Amiri,@RealBabakAmiri,2024-07-14T10:32:17.000Z,False,نتیجه زحمات چند سال اخیر اراذل فمنیست و سایر دوستانشون پیرامون تشویق خانوما به چاقی رو اینجا در تصویر میبینیم. یکی با این وضع و هیکل رو، من حتی مراقبت از هندونه های ١٣ به در رو بهش نمیسپرم چه برسه به امنیت نفرات مهم مملکت!,541,332,1.9K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1432776798731915264/cEJg5gsS_normal.jpg,https://x.com/RealBabakAmiri/status/1812434938131562817,tweet_id:1812434938131562817
رها رها رها من,@StrongFree7,2024-07-20T06:45:18.000Z,False,"#آتش_شاکرمی خودش را زن فمنیست و شجاعی میدونه
بعد استوری میذاره حمله میکنه به ظاهر و موی خواهرش! 
این دردش #نیکا نیست، دردش جهت سیاسی است که متاسفانه همه چیز را در راهش قربانی میکنه. واقعا از نمونه های سقوط اخلاقه کار و رفتار ایشون. کپی نقطه به نقطه جمهوری اسلامی! 
ج.ا. خود اتشه!",1,2,2,87,"['#آتش_شاکرمی', '#نیکا']",[],[],https://pbs.twimg.com/profile_images/1477739090439290883/-JOquu_k_normal.png,https://x.com/StrongFree7/status/1814552145120661993,tweet_id:1814552145120661993
imano,@iimano9,2024-07-17T17:29:13.000Z,False,فمنیست : زن و مرد برابراند  هرشغلی که که برای مرده برای زنم هست ,1,0,6,121,[],[],"['\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921']",https://pbs.twimg.com/profile_images/1788174591321382913/zEZejUEj_normal.jpg,https://x.com/iimano9/status/1813627025263112261,tweet_id:1813627025263112261
Mohammad,@Psithurism031,2024-07-16T19:00:45.000Z,False,"دوستان میدونن عادت به قضاوت ظاهر کسی ندارم
خودمم تیپ و قیافه معمولی دارم
ولی انصافا این فعالان حقوق زنان و فمنیست‌ها چه داخل کشور و چه  خارج‌نشین مثل مصی علینژاد و شادی صدر و...از نظر تیپ و ظاهر خیلی داغون‌اند
انگار بین آکله بودن و فمنیست شدن رابطه علت و معلولی هست#زنانگی_تنانگی",1,0,2,153,['#زنانگی_تنانگی'],[],[],https://pbs.twimg.com/profile_images/1779440662343020544/W0pIjc2f_normal.jpg,https://x.com/Psithurism031/status/1813287676298101162,tweet_id:1813287676298101162
《 Ahoo 》,@worried_myself,2024-07-16T06:55:43.000Z,False,"نکنه ""اراذل"" رونالد ریگان هم فمنیست بودند؟!

آی کیو در حد بچه بسیجی",0,1,17,740,[],[],[],https://pbs.twimg.com/profile_images/1814338954306465797/o8Ju-IPm_normal.jpg,https://x.com/worried_myself/status/1813105212606849251,tweet_id:1813105212606849251
رها رها رها من,@StrongFree7,2024-07-20T06:57:50.000Z,False,"#آتش_شاکرمی خودش را زن فمنیست و شجاعی میدونه اما استوری میذاره حمله میکنه به ظاهر و موی خواهرش! این دردش #نیکا نیست،  واقعا از نمونه های سقوط اخلاقه کار و رفتار ایشون. کپی نقطه به نقطه جمهوری اسلامی! ج.ا. خود اتشه! "" / X",1,0,5,373,"['#آتش_شاکرمی', '#نیکا']",[],[],https://pbs.twimg.com/profile_images/1477739090439290883/-JOquu_k_normal.png,https://x.com/StrongFree7/status/1814555299031683143,tweet_id:1814555299031683143
mahnaz,@mahnaz_,2013-04-18T15:59:50.000Z,False,برای اینکه تو شستن ضرفا به همسرت کمک کنی لزوماَ نباید فمنیست باشی,0,2,6,0,[],[],[],https://pbs.twimg.com/profile_images/3316482933/3ad78647887acd068cc096fd808061f3_normal.jpeg,https://x.com/mahnaz_/status/324915180452577281,tweet_id:324915180452577281
mahnaz,@mahnaz_,2013-06-05T18:44:59.000Z,False,زنان زیبا را دوست دارم / زنان کارگر را دوست دارم / اما زنان کارگر زیبا را بیشتر دوست دارم (فمنیست مردونه با گرایش کمونیستی),0,0,6,0,[],[],[],https://pbs.twimg.com/profile_images/3316482933/3ad78647887acd068cc096fd808061f3_normal.jpeg,https://x.com/mahnaz_/status/342351359452016640,tweet_id:342351359452016640
دکتر هانتر,@VoiceFromFutur,2024-07-06T17:49:41.000Z,True,"یک دختر ”پیک می“ یک دختری یه که هیچ نزاعی با جنس مرد نداره و دنبال همکاری و هم افزایی با یک مرد خوبه.

متاسفانه فمنیست ها این واژه رو تبدیل به یک دشنام برای تحقیر این سبک دخترها کردند. 

اگه گوگل کنید مطالب بی انتهایی می بینید که در اونها فمنیست ها در حال فشار به دخترهای معمولی",10,7,197,8.7K,[],[],[],https://pbs.twimg.com/profile_images/1533109526441783296/GFqqOtc-_normal.jpg,https://x.com/VoiceFromFutur/status/1809645912265732320,tweet_id:1809645912265732320
